premise,hypothesis,extra,label,generic,concept,hyp_type_pl,reasoning_steps,reasoning_type,extra_type
Pigs give birth to piglets. Pigs that have been spayed or neutered are pigs. Goqs are pigs that have been spayed or neutered.,A Goq gives birth to piglets.,Pigs that have been spayed or neutered do not give birth to piglets.,W,Pigs give birth to piglets.,Pigs,Goqs,2,W-case,Real
Pigs give birth to piglets. A Yeb is a pig. A Goq is a Yeb.,A Goq gives birth to piglets.,A Yeb gives birth to piglets,S,Pigs give birth to piglets.,Pigs,Goqs,2,S-case,Nonsense
Pigs give birth to piglets. A Yeb is a pig. A Goq is a Yeb.,A Goq gives birth to piglets.,Yebs do not give birth to piglets,W,Pigs give birth to piglets.,Pigs,Goqs,2,W-case,Nonsense
Dolphins have blubber. A Goq is a dolphin.,A Goq has blubber.,A bottlenose dolphin is a dolphin. A bottlenose dolphins have blubber.,S,Dolphins have blubber.,Dolphins,Goqs,1,S-case,Real
Dolphins have blubber. A Goq is a dolphin.,A Goq has blubber.,A Dofik is a dolphin. A Dofik s have blubber.,S,Dolphins have blubber.,Dolphins,Goqs,1,S-case,Nonsense
Dolphins have blubber. A Goq is a dolphin.,A Goq has blubber.,Dolphins that are sick or injured and have lost their blubber layer are dolphins. Dolphins that are sick or injured and have lost their blubber layer do not have blubber.,W,Dolphins have blubber.,Dolphins,Goqs,1,W-case,Real
Dolphins have blubber. A Goq is a dolphin.,A Goq has blubber.,A Dofik is a dolphin. Dofiks do not have blubber.,W,Dolphins have blubber.,Dolphins,Goqs,1,W-case,Nonsense
Dolphins have blubber. A Goq is a dolphin.,A Goq has blubber.,Whales are not dolphins. Whales have blubber.,N,Dolphins have blubber.,Dolphins,Goqs,1,S-alt,Real
Dolphins have blubber. A Goq is a dolphin.,A Goq has blubber.,A Dofik is not a dolphin. A Dofik s have blubber.,N,Dolphins have blubber.,Dolphins,Goqs,1,S-alt,Nonsense
Dolphins have blubber. A Goq is a dolphin.,A Goq has blubber.,A Dofik is not a dolphin. Dofiks do not have blubber.,N,Dolphins have blubber.,Dolphins,Goqs,1,N-alt,Nonsense
Dolphins have blubber. A Goq is a dolphin.,A Goq has blubber.,Platypuses are not dolphins. Platypuses do not have blubber.,N,Dolphins have blubber.,Dolphins,Goqs,1,N-alt,Real
Dolphins have blubber. A Goq is a dolphin.,A Goq has blubber.,Dolphins have a pectoral fin.,N,Dolphins have blubber.,Dolphins,Goqs,1,N-prop,Real
Dolphins have blubber. A bottlenose dolphin is a dolphin. A Goq is a bottlenose dolphin.,A Goq has blubber.,A bottlenose dolphins have blubber.,S,Dolphins have blubber.,Dolphins,Goqs,2,S-case,Real
Dolphins have blubber. Dolphins that are sick or injured and have lost their blubber layer are dolphins. Goqs are dolphins that are sick or injured and have lost their blubber layer.,A Goq has blubber.,Dolphins that are sick or injured and have lost their blubber layer do not have blubber.,W,Dolphins have blubber.,Dolphins,Goqs,2,W-case,Real
Dolphins have blubber. A Yeb is a dolphin. A Goq is a Yeb.,A Goq has blubber.,A Yeb s have blubber,S,Dolphins have blubber.,Dolphins,Goqs,2,S-case,Nonsense
Dolphins have blubber. A Yeb is a dolphin. A Goq is a Yeb.,A Goq has blubber.,Yebs do not have blubber,W,Dolphins have blubber.,Dolphins,Goqs,2,W-case,Nonsense
Wolves eat rabbits. A Bafu is a wolf.,A Bafu eats rabbits.,A pack of wolves is a wolf. A pack of wolves eat rabbits.,S,Wolves eat rabbits.,Wolves,Bafus,1,S-case,Real
Wolves eat rabbits. A Bafu is a wolf.,A Bafu eats rabbits.,A Goq is a wolf. A Goq eat rabbits.,S,Wolves eat rabbits.,Wolves,Bafus,1,S-case,Nonsense
Wolves eat rabbits. A Bafu is a wolf.,A Bafu eats rabbits.,"Other small mammals, such as mice and squirrels are wolves. Other small mammals, such as mice and squirrels do not eat rabbits.",W,Wolves eat rabbits.,Wolves,Bafus,1,W-case,Real
Wolves eat rabbits. A Bafu is a wolf.,A Bafu eats rabbits.,A Goq is a wolf. Goqs do not eat rabbits.,W,Wolves eat rabbits.,Wolves,Bafus,1,W-case,Nonsense
Wolves eat rabbits. A Bafu is a wolf.,A Bafu eats rabbits.,Raccoons are not wolves. Raccoons eat rabbits.,N,Wolves eat rabbits.,Wolves,Bafus,1,S-alt,Real
Wolves eat rabbits. A Bafu is a wolf.,A Bafu eats rabbits.,A Goq is not a wolf. A Goq eat rabbits.,N,Wolves eat rabbits.,Wolves,Bafus,1,S-alt,Nonsense
Wolves eat rabbits. A Bafu is a wolf.,A Bafu eats rabbits.,A Goq is not a wolf. Goqs do not eat rabbits.,N,Wolves eat rabbits.,Wolves,Bafus,1,N-alt,Nonsense
Wolves eat rabbits. A Bafu is a wolf.,A Bafu eats rabbits.,Tarantulas are not wolves. Tarantulas do not eat rabbits.,N,Wolves eat rabbits.,Wolves,Bafus,1,N-alt,Real
Wolves eat rabbits. A Bafu is a wolf.,A Bafu eats rabbits.,Wolves eat raccoons.,N,Wolves eat rabbits.,Wolves,Bafus,1,N-prop,Real
Wolves eat rabbits. A pack of wolves is a wolf. A Bafu is a pack of wolves.,A Bafu eats rabbits.,A pack of wolves eat rabbits.,S,Wolves eat rabbits.,Wolves,Bafus,2,S-case,Real
"Wolves eat rabbits. Other small mammals, such as mice and squirrels are wolves. Bafus are other small mammals, such as mice and squirrels.",A Bafu eats rabbits.,"Other small mammals, such as mice and squirrels do not eat rabbits.",W,Wolves eat rabbits.,Wolves,Bafus,2,W-case,Real
Wolves eat rabbits. A Dofik is a wolf. A Bafu is a Dofik.,A Bafu eats rabbits.,A Dofik eat rabbits,S,Wolves eat rabbits.,Wolves,Bafus,2,S-case,Nonsense
Wolves eat rabbits. A Dofik is a wolf. A Bafu is a Dofik.,A Bafu eats rabbits.,Dofiks do not eat rabbits,W,Wolves eat rabbits.,Wolves,Bafus,2,W-case,Nonsense
Dolphins have teeth. Wumoxes are dolphins.,Wumoxes have teeth.,"Toothed whales, such as dolphins and orcas are dolphins. Toothed whales, such as dolphins and orcas have teeth.",S,Dolphins have teeth.,Dolphins,Wumoxes,1,S-case,Real
Dolphins have teeth. Wumoxes are dolphins.,Wumoxes have teeth.,Bafus are dolphins. Bafus have teeth.,S,Dolphins have teeth.,Dolphins,Wumoxes,1,S-case,Nonsense
Dolphins have teeth. Wumoxes are dolphins.,Wumoxes have teeth.,Dolphins that have lost their teeth are dolphins. Dolphins that have lost their teeth do not have teeth.,W,Dolphins have teeth.,Dolphins,Wumoxes,1,W-case,Real
Dolphins have teeth. Wumoxes are dolphins.,Wumoxes have teeth.,Bafus are dolphins. Bafus do not have teeth.,W,Dolphins have teeth.,Dolphins,Wumoxes,1,W-case,Nonsense
Dolphins have teeth. Wumoxes are dolphins.,Wumoxes have teeth.,Grizzly bears are not dolphins. Grizzly Bears have teeth.,N,Dolphins have teeth.,Dolphins,Wumoxes,1,S-alt,Real
Dolphins have teeth. Wumoxes are dolphins.,Wumoxes have teeth.,Bafus are not dolphins. Bafus have teeth.,N,Dolphins have teeth.,Dolphins,Wumoxes,1,S-alt,Nonsense
Dolphins have teeth. Wumoxes are dolphins.,Wumoxes have teeth.,Bafus are not dolphins. Bafus do not have teeth.,N,Dolphins have teeth.,Dolphins,Wumoxes,1,N-alt,Nonsense
Dolphins have teeth. Wumoxes are dolphins.,Wumoxes have teeth.,Dragonflies are not dolphins. Dragonflies do not have teeth.,N,Dolphins have teeth.,Dolphins,Wumoxes,1,N-alt,Real
Dolphins have teeth. Wumoxes are dolphins.,Wumoxes have teeth.,Dolphins have a dorsal fin.,N,Dolphins have teeth.,Dolphins,Wumoxes,1,N-prop,Real
"Dolphins have teeth. Toothed whales, such as dolphins and orcas are dolphins. Wumoxes are toothed whales, such as dolphins and orcas.",Wumoxes have teeth.,"Toothed whales, such as dolphins and orcas have teeth.",S,Dolphins have teeth.,Dolphins,Wumoxes,2,S-case,Real
Dolphins have teeth. Dolphins that have lost their teeth are dolphins. Wumoxes are dolphins that have lost their teeth.,Wumoxes have teeth.,Dolphins that have lost their teeth do not have teeth.,W,Dolphins have teeth.,Dolphins,Wumoxes,2,W-case,Real
Dolphins have teeth. Goqs are dolphins. Wumoxes are Goqs.,Wumoxes have teeth.,Goqs have teeth,S,Dolphins have teeth.,Dolphins,Wumoxes,2,S-case,Nonsense
Dolphins have teeth. Goqs are dolphins. Wumoxes are Goqs.,Wumoxes have teeth.,Goqs do not have teeth,W,Dolphins have teeth.,Dolphins,Wumoxes,2,W-case,Nonsense
Frogs have toes. Yebs are frogs.,Yebs have toes.,Salamanders are frogs. Salamanders have toes.,S,Frogs have toes.,Frogs,Yebs,1,S-case,Real
Frogs have toes. Yebs are frogs.,Yebs have toes.,Wumoxes are frogs. Wumoxes have toes.,S,Frogs have toes.,Frogs,Yebs,1,S-case,Nonsense
Frogs have toes. Yebs are frogs.,Yebs have toes.,Frogs that are babies (tadpoles) are frogs. Frogs that are babies (tadpoles) do not have toes.,W,Frogs have toes.,Frogs,Yebs,1,W-case,Real
Frogs have toes. Yebs are frogs.,Yebs have toes.,Wumoxes are frogs. Wumoxes do not have toes.,W,Frogs have toes.,Frogs,Yebs,1,W-case,Nonsense
Frogs have toes. Yebs are frogs.,Yebs have toes.,Chickens are not frogs. Chickens have toes.,N,Frogs have toes.,Frogs,Yebs,1,S-alt,Real
Frogs have toes. Yebs are frogs.,Yebs have toes.,Wumoxes are not frogs. Wumoxes have toes.,N,Frogs have toes.,Frogs,Yebs,1,S-alt,Nonsense
Frogs have toes. Yebs are frogs.,Yebs have toes.,Wumoxes are not frogs. Wumoxes do not have toes.,N,Frogs have toes.,Frogs,Yebs,1,N-alt,Nonsense
Frogs have toes. Yebs are frogs.,Yebs have toes.,Trout are not frogs. Trout do not have toes.,N,Frogs have toes.,Frogs,Yebs,1,N-alt,Real
Frogs have toes. Yebs are frogs.,Yebs have toes.,"Frogs have a long, sticky tongue.",N,Frogs have toes.,Frogs,Yebs,1,N-prop,Real
Frogs have toes. Salamanders are frogs. Yebs are salamanders.,Yebs have toes.,Salamanders have toes.,S,Frogs have toes.,Frogs,Yebs,2,S-case,Real
Frogs have toes. Frogs that are babies (tadpoles) are frogs. Yebs are frogs that are babies (tadpoles).,Yebs have toes.,Frogs that are babies (tadpoles) do not have toes.,W,Frogs have toes.,Frogs,Yebs,2,W-case,Real
Frogs have toes. Bafus are frogs. Yebs are Bafus.,Yebs have toes.,Bafus have toes,S,Frogs have toes.,Frogs,Yebs,2,S-case,Nonsense
Frogs have toes. Bafus are frogs. Yebs are Bafus.,Yebs have toes.,Bafus do not have toes,W,Frogs have toes.,Frogs,Yebs,2,W-case,Nonsense
Mice have eyes. A Wumox is a mouse.,A Wumox has eyes.,A snowshoe hare is a mouse. A snowshoe hare has eyes.,S,Mice have eyes.,Mice,Wumoxes,1,S-case,Real
Mice have eyes. A Wumox is a mouse.,A Wumox has eyes.,A Bafu is a mouse. A Bafu has eyes.,S,Mice have eyes.,Mice,Wumoxes,1,S-case,Nonsense
Mice have eyes. A Wumox is a mouse.,A Wumox has eyes.,Mice that are born without eyes are mice. Mice that are born without eyes do not have eyes.,W,Mice have eyes.,Mice,Wumoxes,1,W-case,Real
Mice have eyes. A Wumox is a mouse.,A Wumox has eyes.,A Bafu is a mouse. Bafus do not have eyes.,W,Mice have eyes.,Mice,Wumoxes,1,W-case,Nonsense
Mice have eyes. A Wumox is a mouse.,A Wumox has eyes.,Octopuses are not mice. Octopuses have eyes.,N,Mice have eyes.,Mice,Wumoxes,1,S-alt,Real
Mice have eyes. A Wumox is a mouse.,A Wumox has eyes.,A Bafu is not a mouse. A Bafu has eyes.,N,Mice have eyes.,Mice,Wumoxes,1,S-alt,Nonsense
Mice have eyes. A Wumox is a mouse.,A Wumox has eyes.,A Bafu is not a mouse. Bafus do not have eyes.,N,Mice have eyes.,Mice,Wumoxes,1,N-alt,Nonsense
Mice have eyes. A Wumox is a mouse.,A Wumox has eyes.,Worms are not mice. Worms do not have eyes.,N,Mice have eyes.,Mice,Wumoxes,1,N-alt,Real
Mice have eyes. A Wumox is a mouse.,A Wumox has eyes.,Mice have a sense of smell.,N,Mice have eyes.,Mice,Wumoxes,1,N-prop,Real
Mice have eyes. A snowshoe hare is a mouse. A Wumox is a snowshoe hare.,A Wumox has eyes.,A snowshoe hare has eyes.,S,Mice have eyes.,Mice,Wumoxes,2,S-case,Real
Mice have eyes. Mice that are born without eyes are mice. Wumoxes are mice that are born without eyes.,A Wumox has eyes.,Mice that are born without eyes do not have eyes.,W,Mice have eyes.,Mice,Wumoxes,2,W-case,Real
Mice have eyes. A Goq is a mouse. A Wumox is a Goq.,A Wumox has eyes.,A Goq has eyes,S,Mice have eyes.,Mice,Wumoxes,2,S-case,Nonsense
Mice have eyes. A Goq is a mouse. A Wumox is a Goq.,A Wumox has eyes.,Goqs do not have eyes,W,Mice have eyes.,Mice,Wumoxes,2,W-case,Nonsense
Caterpillars go through metamorphosis. Bafus are caterpillars.,Bafus go through metamorphosis.,True caterpillars are caterpillars. True caterpillars go through metamorphosis.,S,Caterpillars go through metamorphosis.,Caterpillars,Bafus,1,S-case,Real
Caterpillars go through metamorphosis. Bafus are caterpillars.,Bafus go through metamorphosis.,Goqs are caterpillars. Goqs go through metamorphosis.,S,Caterpillars go through metamorphosis.,Caterpillars,Bafus,1,S-case,Nonsense
Caterpillars go through metamorphosis. Bafus are caterpillars.,Bafus go through metamorphosis.,Caterpillars that cannot find a place to pupate are caterpillars. Caterpillars that cannot find a place to pupate do not go through metamorphosis.,W,Caterpillars go through metamorphosis.,Caterpillars,Bafus,1,W-case,Real
Caterpillars go through metamorphosis. Bafus are caterpillars.,Bafus go through metamorphosis.,Goqs are caterpillars. Goqs do not go through metamorphosis.,W,Caterpillars go through metamorphosis.,Caterpillars,Bafus,1,W-case,Nonsense
Caterpillars go through metamorphosis. Bafus are caterpillars.,Bafus go through metamorphosis.,Insects are not caterpillars. Insects go through metamorphosis.,N,Caterpillars go through metamorphosis.,Caterpillars,Bafus,1,S-alt,Real
Caterpillars go through metamorphosis. Bafus are caterpillars.,Bafus go through metamorphosis.,Goqs are not caterpillars. Goqs go through metamorphosis.,N,Caterpillars go through metamorphosis.,Caterpillars,Bafus,1,S-alt,Nonsense
Caterpillars go through metamorphosis. Bafus are caterpillars.,Bafus go through metamorphosis.,Goqs are not caterpillars. Goqs do not go through metamorphosis.,N,Caterpillars go through metamorphosis.,Caterpillars,Bafus,1,N-alt,Nonsense
Caterpillars go through metamorphosis. Bafus are caterpillars.,Bafus go through metamorphosis.,Emus are not caterpillars. Emus do not go through metamorphosis.,N,Caterpillars go through metamorphosis.,Caterpillars,Bafus,1,N-alt,Real
Caterpillars go through metamorphosis. Bafus are caterpillars.,Bafus go through metamorphosis.,Caterpillars go through a process called molting.,N,Caterpillars go through metamorphosis.,Caterpillars,Bafus,1,N-prop,Real
Caterpillars go through metamorphosis. True caterpillars are caterpillars. Bafus are true caterpillars.,Bafus go through metamorphosis.,True caterpillars go through metamorphosis.,S,Caterpillars go through metamorphosis.,Caterpillars,Bafus,2,S-case,Real
Caterpillars go through metamorphosis. Caterpillars that cannot find a place to pupate are caterpillars. Bafus are caterpillars that cannot find a place to pupate.,Bafus go through metamorphosis.,Caterpillars that cannot find a place to pupate do not go through metamorphosis.,W,Caterpillars go through metamorphosis.,Caterpillars,Bafus,2,W-case,Real
Caterpillars go through metamorphosis. Dofiks are caterpillars. Bafus are Dofiks.,Bafus go through metamorphosis.,Dofiks go through metamorphosis,S,Caterpillars go through metamorphosis.,Caterpillars,Bafus,2,S-case,Nonsense
Caterpillars go through metamorphosis. Dofiks are caterpillars. Bafus are Dofiks.,Bafus go through metamorphosis.,Dofiks do not go through metamorphosis,W,Caterpillars go through metamorphosis.,Caterpillars,Bafus,2,W-case,Nonsense
Monkeys have fingers. Bafus are monkeys.,Bafus have fingers.,Howler monkeys are monkeys. Howler monkeys have fingers.,S,Monkeys have fingers.,Monkeys,Bafus,1,S-case,Real
Monkeys have fingers. Bafus are monkeys.,Bafus have fingers.,Goqs are monkeys. Goqs have fingers.,S,Monkeys have fingers.,Monkeys,Bafus,1,S-case,Nonsense
Monkeys have fingers. Bafus are monkeys.,Bafus have fingers.,Monkeys that have their fingers chopped off are monkeys. Monkeys that have their fingers chopped off do not have fingers.,W,Monkeys have fingers.,Monkeys,Bafus,1,W-case,Real
Monkeys have fingers. Bafus are monkeys.,Bafus have fingers.,Goqs are monkeys. Goqs do not have fingers.,W,Monkeys have fingers.,Monkeys,Bafus,1,W-case,Nonsense
Monkeys have fingers. Bafus are monkeys.,Bafus have fingers.,Skeletons are not monkeys. Skeletons have fingers.,N,Monkeys have fingers.,Monkeys,Bafus,1,S-alt,Real
Monkeys have fingers. Bafus are monkeys.,Bafus have fingers.,Goqs are not monkeys. Goqs have fingers.,N,Monkeys have fingers.,Monkeys,Bafus,1,S-alt,Nonsense
Monkeys have fingers. Bafus are monkeys.,Bafus have fingers.,Goqs are not monkeys. Goqs do not have fingers.,N,Monkeys have fingers.,Monkeys,Bafus,1,N-alt,Nonsense
Monkeys have fingers. Bafus are monkeys.,Bafus have fingers.,Tarantulas are not monkeys. Tarantulas do not have fingers.,N,Monkeys have fingers.,Monkeys,Bafus,1,N-alt,Real
Monkeys have fingers. Bafus are monkeys.,Bafus have fingers.,Monkeys have a tail.,N,Monkeys have fingers.,Monkeys,Bafus,1,N-prop,Real
Monkeys have fingers. Howler monkeys are monkeys. Bafus are howler monkeys.,Bafus have fingers.,Howler monkeys have fingers.,S,Monkeys have fingers.,Monkeys,Bafus,2,S-case,Real
Monkeys have fingers. Monkeys that have their fingers chopped off are monkeys. Bafus are monkeys that have their fingers chopped off.,Bafus have fingers.,Monkeys that have their fingers chopped off do not have fingers.,W,Monkeys have fingers.,Monkeys,Bafus,2,W-case,Real
Monkeys have fingers. Dofiks are monkeys. Bafus are Dofiks.,Bafus have fingers.,Dofiks have fingers,S,Monkeys have fingers.,Monkeys,Bafus,2,S-case,Nonsense
Monkeys have fingers. Dofiks are monkeys. Bafus are Dofiks.,Bafus have fingers.,Dofiks do not have fingers,W,Monkeys have fingers.,Monkeys,Bafus,2,W-case,Nonsense
Gorillas have teeth. Dofiks are gorillas.,Dofiks have teeth.,Lowland gorillas are gorillas. Lowland gorillas have teeth.,S,Gorillas have teeth.,Gorillas,Dofiks,1,S-case,Real
Gorillas have teeth. Dofiks are gorillas.,Dofiks have teeth.,Yebs are gorillas. Yebs have teeth.,S,Gorillas have teeth.,Gorillas,Dofiks,1,S-case,Nonsense
Gorillas have teeth. Dofiks are gorillas.,Dofiks have teeth.,Gorillas that have had their teeth removed are gorillas. Gorillas that have had their teeth removed do not have teeth.,W,Gorillas have teeth.,Gorillas,Dofiks,1,W-case,Real
Gorillas have teeth. Dofiks are gorillas.,Dofiks have teeth.,Yebs are gorillas. Yebs do not have teeth.,W,Gorillas have teeth.,Gorillas,Dofiks,1,W-case,Nonsense
Gorillas have teeth. Dofiks are gorillas.,Dofiks have teeth.,Rattlesnakes are not gorillas. Rattlesnakes have teeth.,N,Gorillas have teeth.,Gorillas,Dofiks,1,S-alt,Real
Gorillas have teeth. Dofiks are gorillas.,Dofiks have teeth.,Yebs are not gorillas. Yebs have teeth.,N,Gorillas have teeth.,Gorillas,Dofiks,1,S-alt,Nonsense
Gorillas have teeth. Dofiks are gorillas.,Dofiks have teeth.,Yebs are not gorillas. Yebs do not have teeth.,N,Gorillas have teeth.,Gorillas,Dofiks,1,N-alt,Nonsense
Gorillas have teeth. Dofiks are gorillas.,Dofiks have teeth.,Sardines are not gorillas. Sardines do not have teeth.,N,Gorillas have teeth.,Gorillas,Dofiks,1,N-alt,Real
Gorillas have teeth. Dofiks are gorillas.,Dofiks have teeth.,Gorillas have a heart.,N,Gorillas have teeth.,Gorillas,Dofiks,1,N-prop,Real
Gorillas have teeth. Lowland gorillas are gorillas. Dofiks are lowland gorillas.,Dofiks have teeth.,Lowland gorillas have teeth.,S,Gorillas have teeth.,Gorillas,Dofiks,2,S-case,Real
Gorillas have teeth. Gorillas that have had their teeth removed are gorillas. Dofiks are gorillas that have had their teeth removed.,Dofiks have teeth.,Gorillas that have had their teeth removed do not have teeth.,W,Gorillas have teeth.,Gorillas,Dofiks,2,W-case,Real
Gorillas have teeth. Wumoxes are gorillas. Dofiks are Wumoxes.,Dofiks have teeth.,Wumoxes have teeth,S,Gorillas have teeth.,Gorillas,Dofiks,2,S-case,Nonsense
Gorillas have teeth. Wumoxes are gorillas. Dofiks are Wumoxes.,Dofiks have teeth.,Wumoxes do not have teeth,W,Gorillas have teeth.,Gorillas,Dofiks,2,W-case,Nonsense
Dogs have thick fur. A Dofik is a dog.,A Dofik has thick fur.,An alaskan malamute is a dog. An alaskan malamute has thick fur.,S,Dogs have thick fur.,Dogs,Dofiks,1,S-case,Real
Dogs have thick fur. A Dofik is a dog.,A Dofik has thick fur.,A Yeb is a dog. A Yeb has thick fur.,S,Dogs have thick fur.,Dogs,Dofiks,1,S-case,Nonsense
Dogs have thick fur. A Dofik is a dog.,A Dofik has thick fur.,Dogs that are malnourished are dogs. Dogs that are malnourished do not have thick fur.,W,Dogs have thick fur.,Dogs,Dofiks,1,W-case,Real
Dogs have thick fur. A Dofik is a dog.,A Dofik has thick fur.,A Yeb is a dog. Yebs do not have thick fur.,W,Dogs have thick fur.,Dogs,Dofiks,1,W-case,Nonsense
Dogs have thick fur. A Dofik is a dog.,A Dofik has thick fur.,Arctic foxes are not dogs. Arctic Foxes have thick fur.,N,Dogs have thick fur.,Dogs,Dofiks,1,S-alt,Real
Dogs have thick fur. A Dofik is a dog.,A Dofik has thick fur.,A Yeb is not a dog. A Yeb has thick fur.,N,Dogs have thick fur.,Dogs,Dofiks,1,S-alt,Nonsense
Dogs have thick fur. A Dofik is a dog.,A Dofik has thick fur.,A Yeb is not a dog. Yebs do not have thick fur.,N,Dogs have thick fur.,Dogs,Dofiks,1,N-alt,Nonsense
Dogs have thick fur. A Dofik is a dog.,A Dofik has thick fur.,Dolphins are not dogs. Dolphins do not have thick fur.,N,Dogs have thick fur.,Dogs,Dofiks,1,N-alt,Real
Dogs have thick fur. A Dofik is a dog.,A Dofik has thick fur.,Dogs have a keen sense of smell.,N,Dogs have thick fur.,Dogs,Dofiks,1,N-prop,Real
Dogs have thick fur. An alaskan malamute is a dog. A Dofik is an alaskan malamute.,A Dofik has thick fur.,An alaskan malamute has thick fur.,S,Dogs have thick fur.,Dogs,Dofiks,2,S-case,Real
Dogs have thick fur. Dogs that are malnourished are dogs. Dofiks are dogs that are malnourished.,A Dofik has thick fur.,Dogs that are malnourished do not have thick fur.,W,Dogs have thick fur.,Dogs,Dofiks,2,W-case,Real
Dogs have thick fur. A Wumox is a dog. A Dofik is a Wumox.,A Dofik has thick fur.,A Wumox has thick fur,S,Dogs have thick fur.,Dogs,Dofiks,2,S-case,Nonsense
Dogs have thick fur. A Wumox is a dog. A Dofik is a Wumox.,A Dofik has thick fur.,Wumoxes do not have thick fur,W,Dogs have thick fur.,Dogs,Dofiks,2,W-case,Nonsense
Monkeys have sharp teeth. A Goq is a monkey.,A Goq has sharp teeth.,A black-and-white colobus is a monkey. A black-and-white colobus has sharp teeth.,S,Monkeys have sharp teeth.,Monkeys,Goqs,1,S-case,Real
Monkeys have sharp teeth. A Goq is a monkey.,A Goq has sharp teeth.,A Dofik is a monkey. A Dofik has sharp teeth.,S,Monkeys have sharp teeth.,Monkeys,Goqs,1,S-case,Nonsense
Monkeys have sharp teeth. A Goq is a monkey.,A Goq has sharp teeth.,Monkeys that have lost their teeth are monkeys. Monkeys that have lost their teeth do not have sharp teeth.,W,Monkeys have sharp teeth.,Monkeys,Goqs,1,W-case,Real
Monkeys have sharp teeth. A Goq is a monkey.,A Goq has sharp teeth.,A Dofik is a monkey. Dofiks do not have sharp teeth.,W,Monkeys have sharp teeth.,Monkeys,Goqs,1,W-case,Nonsense
Monkeys have sharp teeth. A Goq is a monkey.,A Goq has sharp teeth.,Piranhas are not monkeys. Piranhas have sharp teeth.,N,Monkeys have sharp teeth.,Monkeys,Goqs,1,S-alt,Real
Monkeys have sharp teeth. A Goq is a monkey.,A Goq has sharp teeth.,A Dofik is not a monkey. A Dofik has sharp teeth.,N,Monkeys have sharp teeth.,Monkeys,Goqs,1,S-alt,Nonsense
Monkeys have sharp teeth. A Goq is a monkey.,A Goq has sharp teeth.,A Dofik is not a monkey. Dofiks do not have sharp teeth.,N,Monkeys have sharp teeth.,Monkeys,Goqs,1,N-alt,Nonsense
Monkeys have sharp teeth. A Goq is a monkey.,A Goq has sharp teeth.,Scorpions are not monkeys. Scorpions do not have sharp teeth.,N,Monkeys have sharp teeth.,Monkeys,Goqs,1,N-alt,Real
Monkeys have sharp teeth. A Goq is a monkey.,A Goq has sharp teeth.,Monkeys have opposable thumbs.,N,Monkeys have sharp teeth.,Monkeys,Goqs,1,N-prop,Real
Monkeys have sharp teeth. A black-and-white colobus is a monkey. A Goq is a black-and-white colobus.,A Goq has sharp teeth.,A black-and-white colobus has sharp teeth.,S,Monkeys have sharp teeth.,Monkeys,Goqs,2,S-case,Real
Monkeys have sharp teeth. Monkeys that have lost their teeth are monkeys. Goqs are monkeys that have lost their teeth.,A Goq has sharp teeth.,Monkeys that have lost their teeth do not have sharp teeth.,W,Monkeys have sharp teeth.,Monkeys,Goqs,2,W-case,Real
Monkeys have sharp teeth. A Yeb is a monkey. A Goq is a Yeb.,A Goq has sharp teeth.,A Yeb has sharp teeth,S,Monkeys have sharp teeth.,Monkeys,Goqs,2,S-case,Nonsense
Monkeys have sharp teeth. A Yeb is a monkey. A Goq is a Yeb.,A Goq has sharp teeth.,Yebs do not have sharp teeth,W,Monkeys have sharp teeth.,Monkeys,Goqs,2,W-case,Nonsense
Goats have horns. Goqs are goats.,Goqs have horns.,Pygmy goats are goats. Pygmy goats have horns.,S,Goats have horns.,Goats,Goqs,1,S-case,Real
Goats have horns. Goqs are goats.,Goqs have horns.,Dofiks are goats. Dofiks have horns.,S,Goats have horns.,Goats,Goqs,1,S-case,Nonsense
Goats have horns. Goqs are goats.,Goqs have horns.,Goats that have been bred to be hornless are goats. Goats that have been bred to be hornless do not have horns.,W,Goats have horns.,Goats,Goqs,1,W-case,Real
Goats have horns. Goqs are goats.,Goqs have horns.,Dofiks are goats. Dofiks do not have horns.,W,Goats have horns.,Goats,Goqs,1,W-case,Nonsense
Goats have horns. Goqs are goats.,Goqs have horns.,Antelopes are not goats. Antelopes have horns.,N,Goats have horns.,Goats,Goqs,1,S-alt,Real
Goats have horns. Goqs are goats.,Goqs have horns.,Dofiks are not goats. Dofiks have horns.,N,Goats have horns.,Goats,Goqs,1,S-alt,Nonsense
Goats have horns. Goqs are goats.,Goqs have horns.,Dofiks are not goats. Dofiks do not have horns.,N,Goats have horns.,Goats,Goqs,1,N-alt,Nonsense
Goats have horns. Goqs are goats.,Goqs have horns.,Sardines are not goats. Sardines do not have horns.,N,Goats have horns.,Goats,Goqs,1,N-alt,Real
Goats have horns. Goqs are goats.,Goqs have horns.,Goats have four stomachs.,N,Goats have horns.,Goats,Goqs,1,N-prop,Real
Goats have horns. Pygmy goats are goats. Goqs are pygmy goats.,Goqs have horns.,Pygmy goats have horns.,S,Goats have horns.,Goats,Goqs,2,S-case,Real
Goats have horns. Goats that have been bred to be hornless are goats. Goqs are goats that have been bred to be hornless.,Goqs have horns.,Goats that have been bred to be hornless do not have horns.,W,Goats have horns.,Goats,Goqs,2,W-case,Real
Goats have horns. Yebs are goats. Goqs are Yebs.,Goqs have horns.,Yebs have horns,S,Goats have horns.,Goats,Goqs,2,S-case,Nonsense
